Year,Number of Documents
1865,1143
1866,3
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,2
1900,13
1901,26
1902,42
1903,0
1904,0
1905,16
1906,0
1907,4
1908,2
1909,6
1910,57
1911,280
1912,1690
1913,1412
1914,3230
1915,3814
1916,2961
1917,4270
1918,5633
1919,3910
1920,55
1921,1
1923,0
1924,0
1925,1
1926,0
1927,2
1928,2
1929,11
1930,10
1931,77
1932,3872
1933,3967
1934,3761
1935,3665
1936,3999
1937,4759
1938,4519
1939,4832
1940,5239
1941,6186
1942,5592
1943,7690
1944,8672
1945,11351
1946,7939
1947,6359
1948,6984
1949,7496
1950,5093
1951,6652
1952,3743
1953,4360
1954,6291
1955,3391
1956,3264
1957,2826
1958,2679
1959,2347
1960,2259
1961,3031
1962,3639
1963,2974
1964,2833
1965,2565
1966,2021
1967,2644
1968,2395
1969,2075
1970,2516
1971,2856
1972,2551
1973,2014
1974,1621
1975,1786
1976,1402
1977,1682
1978,1456
1979,1143
1980,811
1981,144
1982,508
1983,26
1984,10
1985,0
1986,7
1987,100
1988,62
1989,1
