
**`@when` data outside of date coverage range of parent _FRUS_ volume**

Outlier data in `@when` | Frequency | Issue | Date Entries | Volume Coverage Dates | URIs
--- | --- | --- | --- | --- | ---
1942-01-03 | 11 | `@when` outside of volume date range | <ul><li>January 3, 1942</li><li>January 3, 1942</li><li>January 3, 1942</li><li>January 3, 1942</li><li>January 3, 1942</li><li>January 3, 1942</li><li>3 January, 1942</li><li>January3, 1942</li><li>January 3, 1942</li><li>January 3, 1942</li><li>January 3, 1942—noon</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d139</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d140</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d173</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d174</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d197</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d198</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d235</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d236</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d252</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d256</li><li>https://history.state.gov/historicaldocuments/frus1941v01/d872</li></ul>
 1942-01-01 | 10 | `@when` outside of volume date range | <ul><li>January 1, 1942</li><li>January 1, 1942</li><li>January 1, 1942</li><li>January 1, 1942</li><li>January 1, 1942</li><li>January 1, 1942</li><li>January 1, 1942</li><li>January 1, 1942</li><li>January 1, 1942</li><li>January 1, 1942—11 a.m.</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d134</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d168</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d169</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d170</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d171</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d195</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d232</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d233</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d250</li><li>https://history.state.gov/historicaldocuments/frus1941v04/d595</li></ul>
 1942-01-02 | 10 | `@when` outside of volume date range | <ul><li>January 2, 1942</li><li>January 2, 1942</li><li>January 2, 1942</li><li>January 2, 1942</li><li>January 2, 1942</li><li>January 2, 1942</li><li>January 2, 1942</li><li>January 2, 1942</li><li>January 2, 1942 [1943]</li><li>January 2, 1942—1:45 p.m.</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1943</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d135</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d136</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d137</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d138</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d172</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d196</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d234</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d251</li><li>https://history.state.gov/historicaldocuments/frus1943v02/d854</li><li>https://history.state.gov/historicaldocuments/frus1941v04/d596</li></ul>
 1942-01-12 | 10 | `@when` outside of volume date range | <ul><li>January12, 1942</li><li>January 12, 1942</li><li>January 12, 1942</li><li>January 12, 1942</li><li>January 12, 1942</li><li>12 January 1942</li><li>January 12, 1942</li><li>January 12, 1942</li><li>January 12, 1942</li><li>January 12, 1942</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d104</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d106</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d119</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d185</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d208</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d209</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d242</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d243</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d255</li><li>https://history.state.gov/historicaldocuments/frus1941v05/d995</li></ul>
 1943-01-17 | 9 | `@when` outside of volume date range | <ul><li>January 17, 1943</li><li>January 17, 1943</li><li>January 17, 1943</li><li>January 17, 1943</li><li>January 17, 1943</li><li>17 January, 1943</li><li>17 January, 1943</li><li>January 17, 1943</li><li>17 January, 1943</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d349</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d351</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d403</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d404</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d428</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d429</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d430</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d431</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d432</li></ul>
 1943-01-23 | 9 | `@when` outside of volume date range | <ul><li>23 January 1943</li><li>January 23, 1943</li><li>January 23, 1943</li><li>January 23, 1943</li><li>23 January 1943</li><li>January 23, 1943</li><li>January 23, 1943</li><li>January 23, 1943</li><li>January 23, 1943</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d385</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d416</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d417</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d418</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d419</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d420</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d421</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d422</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d440</li></ul>
 1952-01-03 | 9 | `@when` outside of volume date range | <ul><li>January 3, 1952.</li><li>January 3, 1952—4:57 p. m.</li><li>January 3, 1952—11 a. m.</li><li>January 3, 1952—3 p. m.</li><li>January 3, 1952—3 p. m.</li><li>January 3, 1952—4:52 p. m.</li><li>January 3, 1952—5 p. m.</li><li>January 3, 1952—8 p. m.</li><li>January 3, 1952—9 p. m.</li></ul> | <ul><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v02/d830</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d530</li><li>https://history.state.gov/historicaldocuments/frus1951v05/d254</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d540</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d541</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d543</li><li>https://history.state.gov/historicaldocuments/frus1951v03p1/d544</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d542</li><li>https://history.state.gov/historicaldocuments/frus1951v03p2/d143</li></ul>
 1941-12-30 | 8 | `@when` outside of volume date range | <ul><li>December 30, 1941</li><li>December 30, 1941</li><li>December 30, 1941</li><li>December 30, 1941</li><li>December 30, 1941</li><li>December 30, 1941</li><li>December 30, 1941—3 p.m.</li><li>December 30, 1941—7 p.m.</li></ul> | <ul><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d14</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d15</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d16</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d226</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d227</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d228</li><li>https://history.state.gov/historicaldocuments/frus1942v05/d8</li><li>https://history.state.gov/historicaldocuments/frus1942v05/d9</li></ul>
 1942-01-05 | 8 | `@when` outside of volume date range | <ul><li>January 5, 1942</li><li>January 5, 1942</li><li>January 5, 1942</li><li>January 5, 1942</li><li>January 5, 1942</li><li>January 5, 1942</li><li>January 5, 1942</li><li>January 5, 1942—9:10 p.m.</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d141</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d175</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d176</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d177</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d200</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d253</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d257</li><li>https://history.state.gov/historicaldocuments/frus1941v04/d597</li></ul>
